"","Group.1","Visibility","Traits.ID","Genus","Morphospecies","Contributor","Latitude","Longitude","Caste","N","Head.width.across.eyes..mm.","Head.length..mm.","Clypeus.length..mm.","Mandible.length..mm.","Hind.femur.length..mm.","Scape.length..mm.","Weber.s.length..mm.","Pronotum.width..mm.","Inter.ocular.width..mm.","Max.eye.width..mm.","Whole.body.length..mm.","Sculpturing","Pilosity....","Number.of.Spines....","Dominant.colour.head..Fig..16.","Dominant.colour.mesosoma..Fig..16.","Dominant.colour.gaster..Fig..16.","Polymorphism","Queen.number","Worker.number....","Colony.type","Colony.founding","Nest.Site","Activity","Diet","Notes","Species","Invasive.To.Political.Region1","Political.Region1","Continent","username","Date.Of.Upload","Batch","Batch.Name"
"Carebara","Carebara","Public","Baccaro_noyear_traits_13","Carebara","False","Staab, Michael",12.7529069,112.87450208625,"Worker",1,0.423812433916667,0.44786455025,0.057842261875,0.262927750413793,0.361068542636364,0.347978260869565,0.703753333333333,0.21,0.418221288529412,0.023218254,1.7,1.25,3.77777777777778,0.117647058823529,16.3333333333333,15,15.8888888888889,"Dimorphic (2)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","melasolena","Native*","China","Asia","bgrossman","2017-02-23",147.684210526316,"Staab_China_pitfalls"
"Carebara.1","Carebara","Public","Baccaro_noyear_traits_13","Carebara","False","Staab, Michael",12.7529069,112.87450208625,"Worker",1,0.423812433916667,0.44786455025,0.057842261875,0.262927750413793,0.361068542636364,0.347978260869565,0.703753333333333,0.21,0.418221288529412,0.023218254,1.7,1.25,3.77777777777778,0.117647058823529,16.3333333333333,15,15.8888888888889,"Dimorphic (2)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist predator (1)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","melasolena","Native*","China","Asia","bgrossman","2017-02-23",147.684210526316,"Staab_China_pitfalls"
"Cephalotes","Cephalotes","Public","Donoso_2014_traits_161","Cephalotes","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.1264740014286,-46.1283521871429,"Worker",3,1.88181818181818,1.37393939390909,0.256111111111111,0.467777777777778,1.08388888888889,0.690370370333333,1.72015151518182,1.00629629633333,1.38851851855556,0.314074074111111,3.55,2,0.2,4.2,7.5,7.5,7.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","172079","minutus","Native*","Brazil","South America","lgjohanson","2018-04-24",158.181818181818,"Vasconcelos&Pacheco Traits"
"Cephalotes.1","Cephalotes","Public","Donoso_2014_traits_161","Cephalotes","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.1264740014286,-46.1283521871429,"Worker",3,1.88181818181818,1.37393939390909,0.256111111111111,0.467777777777778,1.08388888888889,0.690370370333333,1.72015151518182,1.00629629633333,1.38851851855556,0.314074074111111,3.55,2,0.2,4.2,7.5,7.5,7.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","172079","minutus","Native*","Brazil","South America","lgjohanson","2018-04-24",158.181818181818,"Vasconcelos&Pacheco Traits"
"Cephalotes.2","Cephalotes","Public","Donoso_2014_traits_161","Cephalotes","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.1264740014286,-46.1283521871429,"Worker",3,1.88181818181818,1.37393939390909,0.256111111111111,0.467777777777778,1.08388888888889,0.690370370333333,1.72015151518182,1.00629629633333,1.38851851855556,0.314074074111111,3.55,2,0.2,4.2,7.5,7.5,7.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","172079","minutus","Native*","Brazil","South America","lgjohanson","2018-04-24",158.181818181818,"Vasconcelos&Pacheco Traits"
"Cephalotes.3","Cephalotes","Public","Donoso_2014_traits_161","Cephalotes","False","Heraldo L. Vasconcelos & Renata Pacheco",-12.1264740014286,-46.1283521871429,"Worker",3,1.88181818181818,1.37393939390909,0.256111111111111,0.467777777777778,1.08388888888889,0.690370370333333,1.72015151518182,1.00629629633333,1.38851851855556,0.314074074111111,3.55,2,0.2,4.2,7.5,7.5,7.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","172079","minutus","Native*","Brazil","South America","lgjohanson","2018-04-24",158.181818181818,"Vasconcelos&Pacheco Traits"
"Crematogaster","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.1","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.2","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.3","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.4","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.5","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.6","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.7","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.8","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.9","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.10","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.11","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Crematogaster.12","Crematogaster","Public","Andersen_etal_2007_traits_5","Crematogaster","True","Plowman, Nichola",-1.71594291962162,115.352453474162,"Worker",1.16216216216216,0.704924700616279,0.780244323937799,0.223060640082278,0.36671629055615,0.736761313694737,0.762253141647059,0.993046165928058,0.613878674382979,0.744381874418182,0.137302912041667,3.904765,1.98412698412698,7.15254237288136,2.14285714285714,17.3478260869565,17.2028985507246,17.9855072463768,"Monomorphic (1)","Monogyny (1)",700,"Monodomous (1)","Claustral independent (2)","Litter (6)","Diurnal (1)","Sugar feeder + generalist (4)","These ants from samples collected in Klimes_etal_noyear but were analysed separately at a later date to be included in a different publication","flavitarsis","Native*","China","Asia","bgrossman","2017-02-22",142.977477477477,"Traits_3_February_2017"
"Cyphomyrmex","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.1","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.2","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.3","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.4","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.5","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.6","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Cyphomyrmex.7","Cyphomyrmex","Public","Baccaro_noyear_traits_119","Cyphomyrmex","False","Baccaro, Fabricio",-6.546363512,-38.047677598,"Worker",2.125,0.603125,0.609375,0.237692307692308,0.363846153846154,0.764615384615385,0.558333333333333,0.853333333333333,0.393076923076923,0.486923076923077,0.103846153846154,NA,2,0.25,0,19.375,19.375,19.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Fungivore (7)","10040","rimosus","Native*","Brazil","South America","bgrossman","2017-02-23",150.875,"Traits_4_February_2017"
"Dolichoderus","Dolichoderus","Public","Donoso_2014_traits_34","Dolichoderus","False","Staab, Michael",29.3014011,48.6491287,"Worker",1,0.874823611,0.8275055555,0.778,0.330857142857143,0.632114285714286,0.733171428571429,1.03536363636364,0.718333333333333,0.963,0.343642857142857,2,2,6.75,4,17.75,17.75,2.75,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","incisus","Native*","China","Asia","bgrossman","2017-02-22",146.636363636364,"Traits_1_February 2017"
"Discothyrea","Discothyrea","Public","Baccaro_noyear_traits_118","Discothyrea","False","Baccaro, Fabricio",14.9531925,73.6302075,"Worker",1.14285714285714,0.442142857142857,0.512666666666667,0.095,0.20125,0.3642,0.335375,0.470221428571429,0.22,0.34,0.03375,NA,1,0,0,17,17,17,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Hypogaeic (1)","Crepuscular (4)","Specialist predator (6)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","sauteri","Native*","China","Asia","bgrossman","2017-02-23",146.714285714286,"Traits_4_February_2017"
"Dolichoderus.1","Dolichoderus","Public","Donoso_2014_traits_34","Dolichoderus","False","Staab, Michael",29.3014011,48.6491287,"Worker",1,0.874823611,0.8275055555,0.778,0.330857142857143,0.632114285714286,0.733171428571429,1.03536363636364,0.718333333333333,0.963,0.343642857142857,2,2,6.75,4,17.75,17.75,2.75,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","incisus","Native*","China","Asia","bgrossman","2017-02-22",146.636363636364,"Traits_1_February 2017"
"Dolichoderus.2","Dolichoderus","Public","Donoso_2014_traits_34","Dolichoderus","False","Staab, Michael",29.3014011,48.6491287,"Worker",1,0.874823611,0.8275055555,0.778,0.330857142857143,0.632114285714286,0.733171428571429,1.03536363636364,0.718333333333333,0.963,0.343642857142857,2,2,6.75,4,17.75,17.75,2.75,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","incisus","Native*","China","Asia","bgrossman","2017-02-22",146.636363636364,"Traits_1_February 2017"
"Dolichoderus.3","Dolichoderus","Public","Donoso_2014_traits_34","Dolichoderus","False","Staab, Michael",29.3014011,48.6491287,"Worker",1,0.874823611,0.8275055555,0.778,0.330857142857143,0.632114285714286,0.733171428571429,1.03536363636364,0.718333333333333,0.963,0.343642857142857,2,2,6.75,4,17.75,17.75,2.75,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","incisus","Native*","China","Asia","bgrossman","2017-02-22",146.636363636364,"Traits_1_February 2017"
"Dolichoderus.4","Dolichoderus","Public","Donoso_2014_traits_34","Dolichoderus","False","Staab, Michael",29.3014011,48.6491287,"Worker",1,0.874823611,0.8275055555,0.778,0.330857142857143,0.632114285714286,0.733171428571429,1.03536363636364,0.718333333333333,0.963,0.343642857142857,2,2,6.75,4,17.75,17.75,2.75,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Aboreal (5)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","incisus","Native*","China","Asia","bgrossman","2017-02-22",146.636363636364,"Traits_1_February 2017"
"Dorymyrmex","Dorymyrmex","Public","Chick_noyear_traits_18","Dorymyrmex","False","Chick, Lacy",19.8651043440909,-41.5358323627273,"Worker",2.04545454545455,0.77,0.895454545454546,0.281666666666667,0.375555555555556,1.005,0.796666666666667,0.975,0.494444444444444,0.573333333333333,0.164444444444444,NA,1,8.27777777777778,0,18.3333333333333,18.3333333333333,20.0555555555556,NA,NA,NA,NA,NA,NA,NA,NA,"Actually from Wiescher et al. 2012, 4-8 individuals measured","bureni","Native*","Brazil","South America","bgrossman","2017-02-23",147.636363636364,"Traits_3_February_2017"
"NA.2",NA,NA,NA,"Eciton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.05703333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ectatomma","Ectatomma","Public","Baccaro_noyear_traits_3","Ectatomma","False","Donoso, David",-10.673009068,-49.072516264,"Worker",2.2,1.859,1.971,0.656666666666667,1.35777777777778,2.65555555555556,1.89,3.217,1.35666666666667,1.41333333333333,0.442222222222222,10.3125,3,20.625,0.25,21.5,21.5,21.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Hypogaeic (1)","Diurnal (1)","Generalist (2)","176316","edentatum","Native*","Brazil","South America","bgrossman","2017-02-23",151.7,"Traits_4_February_2017"
"Ectatomma.1","Ectatomma","Public","Baccaro_noyear_traits_3","Ectatomma","False","Donoso, David",-10.673009068,-49.072516264,"Worker",2.2,1.859,1.971,0.656666666666667,1.35777777777778,2.65555555555556,1.89,3.217,1.35666666666667,1.41333333333333,0.442222222222222,10.3125,3,20.625,0.25,21.5,21.5,21.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Hypogaeic (1)","Diurnal (1)","Generalist (2)","176316","edentatum","Native*","Brazil","South America","bgrossman","2017-02-23",151.7,"Traits_4_February_2017"
"Ectatomma.2","Ectatomma","Public","Baccaro_noyear_traits_3","Ectatomma","False","Donoso, David",-10.673009068,-49.072516264,"Worker",2.2,1.859,1.971,0.656666666666667,1.35777777777778,2.65555555555556,1.89,3.217,1.35666666666667,1.41333333333333,0.442222222222222,10.3125,3,20.625,0.25,21.5,21.5,21.5,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Hypogaeic (1)","Diurnal (1)","Generalist (2)","176316","edentatum","Native*","Brazil","South America","bgrossman","2017-02-23",151.7,"Traits_4_February_2017"
"NA.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NA.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gnamptogenys","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
"Gnamptogenys.1","Gnamptogenys","Public","Baccaro_noyear_traits_1","Gnamptogenys","False","Donoso, David",9.23956707388889,60.9510536672222,"Worker",1.36842105263158,0.851878787878788,0.89173125,0.26,0.550928571428571,0.874053571428571,0.672904761904762,1.36971754386842,0.578333333333333,0.706666666666667,0.137053571428571,3.35,2.75,21.5714285714286,0,14,14,14,"Monomorphic (1)","Monogyny (1)",NA,"Monodomous (1)",NA,"Litter (6)","Diurnal (1)","Generalist (2)","traits are not analyzed in the paper, head width is meassured ABOVE the eyes","quadrutinodules","Native*","China","Asia","bgrossman","2017-02-23",145.894736842105,"Traits_4_February_2017"
